2015;44;1;2015.10.29.;23;76 500 UAH;46;9 640 UAH;1410;355 UAH;7800;185 UAH;18990;0 UAH;2;1;1;1;2;2;2;1;2;1;1;1;1;+2
2015;43;2;2015.10.26.;99;164 630 UAH;23;16 415 UAH;1738;865 UAH;10187;145 UAH;32184;90 UAH;1;1;2;2;1;1;X;1;1;2;1;2;X;+1
2015;43;1;2015.10.22.;0;0 UAH;1;2 772 490 UAH;73;12 355 UAH;781;1 155 UAH;4222;410 UAH;1;2;X;X;1;1;1;1;X;1;1;X;1;+X
2015;42;2;2015.10.19.;0;0 UAH;0;0 UAH;22;53 515 UAH;217;5 425 UAH;1490;1 515 UAH;2;1;2;X;1;2;2;1;1;X;1;1;1;+X
2015;42;1;2015.10.14.;0;0 UAH;3;235 040 UAH;133;3 975 UAH;1524;345 UAH;8587;120 UAH;1;2;2;1;1;2;1;1;1;1;2;2;1;+X
2015;41;2;2015.10.12.;1;24 141 375 UAH;5;734 675 UAH;132;12 825 UAH;1409;1 200 UAH;8733;370 UAH;1;X;2;2;2;1;2;1;2;2;2;X;1;+1
2015;41;1;2015.10.10.;0;0 UAH;0;0 UAH;11;146 640 UAH;254;6 350 UAH;2778;1 115 UAH;1;1;X;1;X;2;1;1;2;2;1;1;2;+2
2015;40;2;2015.10.05.;0;0 UAH;2;2 856 885 UAH;52;29 665 UAH;549;2 810 UAH;4140;715 UAH;1;1;1;X;1;X;2;1;1;2;X;1;1;+X
2015;40;1;2015.10.01.;0;0 UAH;0;0 UAH;43;22 405 UAH;698;1 380 UAH;5474;335 UAH;1;1;2;1;1;1;2;2;2;1;1;2;1;+2
2015;39;2;2015.09.28.;0;0 UAH;0;0 UAH;2;589 780 UAH;29;40 675 UAH;295;7 665 UAH;2;2;2;X;2;2;X;X;1;1;1;2;2;+2
2015;39;1;2015.09.24.;0;0 UAH;0;0 UAH;19;31 565 UAH;320;1 875 UAH;2604;440 UAH;1;1;2;1;1;1;X;2;1;X;1;X;1;+1
2015;38;2;2015.09.21.;3;4 039 335 UAH;5;563 630 UAH;260;5 245 UAH;2740;500 UAH;14186;185 UAH;2;1;X;1;2;2;1;1;1;2;X;2;2;+1
2015;38;1;2015.09.17.;0;0 UAH;0;0 UAH;12;69 690 UAH;202;4 140 UAH;2083;770 UAH;2;1;1;1;2;1;1;1;1;2;X;2;X;+X
2015;37;2;2015.09.14.;0;0 UAH;0;0 UAH;80;14 775 UAH;1305;905 UAH;8544;265 UAH;2;1;2;X;2;1;1;1;2;1;2;X;X;+1
2015;37;1;2015.09.09.;1;2 223 205 UAH;0;0 UAH;44;11 440 UAH;402;1 250 UAH;2538;380 UAH;1;2;2;X;1;1;2;2;1;X;X;1;X;+2
2015;36;2;2015.09.07.;10;752 605 UAH;2;199 365 UAH;338;2 905 UAH;3264;300 UAH;14785;125 UAH;1;1;1;1;1;X;2;1;1;2;X;1;1;+1
2015;36;1;2015.09.05.;0;0 UAH;0;0 UAH;1;811 995 UAH;41;19 805 UAH;425;3 660 UAH;X;2;1;X;1;2;2;1;2;2;X;1;1;+2
2015;35;2;2015.08.31.;1;9 949 240 UAH;1;828 210 UAH;54;23 005 UAH;545;2 280 UAH;3280;725 UAH;1;1;2;1;X;2;1;1;1;1;1;2;X;+2
2015;35;1;2015.08.27.;0;0 UAH;1;2 287 805 UAH;11;59 965 UAH;215;3 070 UAH;1623;780 UAH;1;X;1;1;X;1;1;2;2;X;1;2;X;+1
2015;34;2;2015.08.24.;0;0 UAH;0;0 UAH;1;1 056 230 UAH;31;34 070 UAH;533;3 800 UAH;2;X;X;X;2;1;2;2;2;X;1;2;1;+1
2015;34;1;2015.08.20.;2;17 496 525 UAH;0;0 UAH;55;22 710 UAH;630;1 980 UAH;3894;615 UAH;1;1;1;1;1;X;2;2;X;X;X;1;1;+1
2015;33;2;2015.08.17.;0;0 UAH;1;6 607 515 UAH;29;60 240 UAH;318;5 495 UAH;2181;1 535 UAH;2;1;2;X;2;1;1;2;X;X;1;2;2;+1
2015;33;1;2015.08.13.;0;0 UAH;0;0 UAH;1;898 855 UAH;17;52 875 UAH;199;8 655 UAH;X;X;X;1;X;X;1;X;X;1;1;2;2;+2
2015;32;2;2015.08.08.;0;0 UAH;0;0 UAH;5;248 945 UAH;114;10 920 UAH;1039;2 295 UAH;2;1;1;2;X;1;2;1;1;2;X;1;1;+X
2015;32;1;2015.08.07.;0;0 UAH;0;0 UAH;33;32 275 UAH;450;2 365 UAH;3221;635 UAH;1;1;1;1;1;2;1;1;2;1;X;2;1;+1
